connection,I_integrate,n_convergence,I_conv
CP2CP,-0.2039388331990217,127.6,-26.022595116195166
CP2CS,-0.10485605792438688,8.0,-0.838848463395095
CS2CS,-0.07052814095445835,47.2,-3.3289282530504343
CS2CP,-0.11023876831032692,71.5,-7.8820719341883745
CP2FSI,-0.061198203629495976,98.9,-6.052502338957153
CS2FSI,-0.03116514969768611,121.3,-3.780332658329325
CP2LTS,-0.006374448278229124,129.3,-0.8242161623750258
CS2LTS,-0.008743130225350055,144.2,-1.2607593784954778
FSI2CP,0.43707969620390885,45.0,19.6685863291759
FSI2CS,0.9780487438494879,39.7,38.828535130824676
LTS2CP,1.3036758270173787,42.2,55.015119900133385
LTS2CS,1.5327320211513975,10.4,15.940413019974535
FSI2FSI,0.11172018680076722,79.0,8.82589475726061
FSI2LTS,0.1265304567218896,22.4,2.834282230570327
LTS2FSI,0.11336466625217505,35.6,4.035782118577432
LTS2LTS,0.12387101386290396,12.2,1.5112263691274281
Thal2CP,-3.8091000805109814,1.0,-3.8091000805109814
Thal2CS,-4.910538387995619,1.0,-4.910538387995619
Base2FSI,-0.6823719411429434,1.0,-0.6823719411429434
Base2LTS,-0.9110034630328587,1.0,-0.9110034630328587
